Company,Source
China Metallurgical Group,BGS Tender document
Celamin,Ann Rep 2011
Cancor Mines,Ann Info Form 2008
Yamana Gold,Ann Rep 2010
Xstrata,Ann Rep 2010
Marifil Mines,Company Presentation
Xstrata,Ann Rep 2010
"NGEx Resources, JOGMEC",Ann Rep 2010
Minera Andes,Tech Rep 2010
Pan American Silver Crop.,Ann Rep 2010
Coro Mining Corp,Ann Info Form 2010
Lumina Copper,Ann Rep 2010
Terramin Australia,Ann Rep 2010
Compass Resources,Ann Rep 2007
Monto Minerals,Ann Rep 2010
Syndicated Metals,Ann Rep 2010
Mt Isa Metals,Ann Rep 2010
Ironbark Zinc,Ann Rep 2010
Jabiru Metals,Ann Rep 2010
Newcrest,Ann Rep 2010
Newmont,Ann Rep 2010
Compass Resources,Ann Rep 2007
Comet Resources,Ann Rep 2010
Lachlan Star,Ann Rep 2010
Newcrest,Ann Rep 2010
Newcrest,Ann Rep 2010
IMX Resources,Ann Rep 2010
Mt Burgess Mining,Ann Rep 2008
Helix Resources,Ann Rep 2010
OZ Minerals,Ann Rep 2010
Capital Mining,Ann Rep 2010
Lynch Mining Pty Ltd,RAM
Exco Resources,Ann Rep 2010
Glencore,Ann Rep 2011
Malachite Resources,Ann Rep 2010
"Panoramic60%, Thundelarra40%",Ann Rep 2010
Golden Cross Resources,Ann Rep 2010
Panoramic Resources,Ann Rep 2010
Mutiny Gold,Ann Rep 2010
Sandfire Resources,Ann Rep 2010
MMG,Ann Rep 2010