Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Pb,%Zn,g/t Ag,%Cu,g/t Au
Fagundes,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3,,4.50,,,
Irecê,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),1.50,,7.90,120,,
Januaria,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.10,7.50,4.0,,,
Morro Agudo,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Cunha et al (2000),9.47,2,6.13,,,
Nova Redenção (New Redemption),Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Filho et al (2001),5.20,6.30,0.50,33,,
Palmeirópolis,Brazil,VMS,,C,unknown,Brandão et al (2000),6.890,1.00,4.54,25.8,0.93,0.04
Perau,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3.30,4.13,1.88,,,
S. Maria,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),46,1.30,0.90,12,,
Tres Irmas,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),7.0,1.40,7.60,,,
Vazante,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Monteiro et al (2007),18.80,,23.70,,,
Perkoa,Burkina Faso,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,12.96,0.1,9.8,56,,
Abcourt-Barvue,Canada,VMS,,C,Abcourt Mines Inc,Tech Rep (2014-04),10.127,,3.03,67.3,,0.14
Akie-Cardiac Creek,Canada,Sediment-hosted Pb-Zn,Sedex,C,Canada Zinc Metals,Tech Rep (2012-05),68.19,0.97,5.20,9.0,,
Aldermac,Canada,VMS,,NC,Abcourt Mines,Ann Info Form 2011,1.54,,3.0,,1.55,
Amy,Canada,Sediment-hosted Pb-Zn,?,NC,unknown,BC OFR (1998-10),0.072,2.84,6.03,366.70,,
Andrew (Lad),Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,7.76,1.40,5.80,9.49,,
Atlin-Ruffner,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.114,5,,600,,
Barvallée,Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.276,,4.39,48.1,0.87,1.31
Bear,Canada,VMS,,NC,unknown (Solid Res. Now Iberian Mins.??),NWT Guide 2007,1.136,2.20,5.10,336,,0.60
Bear-Twit,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,NWT Guide 2007,9.07,2.60,5.40,17.10,,
Belfort (Roymont),Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.067,,5.71,19.22,0.18,1.05
Bend 1 (Canyon Zone),Canada,Sediment-hosted Pb-Zn,SEDEX,NC,unknown,BC OFR (1998-10),5,2.30,0.60,7,,
Berrigan North (Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),1.389,,3.17,,,1.77
Berrigan South (Lac Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),0.260,,3.05,,,0.58
Beveley,Canada,Sediment-hosted Pb-Zn,MVT?,NC,unknown,BC OFR (1998-10),2.721,3.66,,36.30,,
Big Bull,Canada,VMS,,C,Chieftain Metals,Tech Rep (2010-11),0.96,2.13,5.03,177,0.35,3.7
Big Ledge,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,6.50,,4,,,
Big Showing (Teddy Glacier),Canada,Sediment-hosted Pb-Zn,MVT,NC,Jazz Resources,Tech Rep (2007-11),0.044,7.94,6.74,161.10,,4.5
Blende,Canada,Sediment-hosted Pb-Zn,MVT,C,Blind Creek Resources (formerly Eagle Plains Res.),Tech Rep (2007-08),19.60,2.80,3.04,56.0,,
Bobby's Pond,Canada,VMS,,C,Mountain Lake Resources,Tech Rep (2008-09),2.27,0.35,4.16,13.7,0.91,0.13
Boomerang-Domino (Tulks South),Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2007-08),2.077,2.92,6.82,104.0,0.48,1.39
Bowler Creek,Canada,VMS,VMS,NC,unknown,BC OFR (1998-10),0.296,0.77,2.58,52.3,0.20,
Brabant Lake,Canada,VMS,,C,Manicougan Minerals,Tech Rep (2008-09),4.45,0.16,6.75,20.1,0.63,0.12
Bracemac-McLeod,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,5.88,,8.87,34.2,1.22,0.7
Brandywine-Silver Tunnel-Northair,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.497,1.72,0.26,277.3,0.18,1.57
Buckton-Buckton South,Canada,Shale-hosted,,C,DNI Metals,Tech Rep (2014-01),"5,008.7",,0.017,,0.004,
Cadieux,Canada,Sediment-hosted Pb-Zn,,NC,unknown,"(see Gatineau, Midland Expl'n)",1.25,0.70,9.40,,,
Caledonia,Canada,Skarn,,NC,unknown,"BC OFR (1998-10), MINFILE 092L-061",0.07,0.60,7.45,704.20,6.10,0.34
Caribou,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2013-11),10.89,2.89,6.98,82.4,0.40,1.00
Cassiar Camp,Canada,Skarn-Manto,,NC,unknown,BC OFR (1998-10),0.905,6.1,3.49,137,0.04,
Chester,Canada,VMS,,C,Explor Resources,Tech Rep (2014-04),4.014,,0.02,1.3,1.21,
Chu Chua,Canada,VMS,,C,Reva Resources,Tech Rep (2013-10),2.827,,0.32,8.96,1.90,0.47
Cirque-South Cirque,Canada,Sediment-hosted Pb-Zn,Sedex,NC,"Teck Resources-50%, Korea Zinc-50%",(Canada Zinc Metals; Tech Rep 2012-05 Pie),54,2.0,7.70,42.80,,
CK,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),1.490,1.40,8.60,8.50,,
Clark,Canada,Skarn-manto,,NC,unknown,Yukon Gov't Zn profile,0.327,5.64,4.60,254.80,,
Clear Lake,Canada,Sediment-hosted Pb-Zn,,C,Golden Predator (formerly Redtail Metals),Tech Rep (2010-02),9.21,0.97,6.60,19,,
Colby (Kingfisher-Noreen),Canada,Sediment-hosted Pb-Zn,Sedex,NC,Rich River Exploration (?),Corp Brochure,1.80,0.58,2.60,,,
Comstock (Canada),Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.043,6,10,,0.12,
Copper Crown,Canada,Epithermal,Low sulfidation?,NC,unknown,BC OFR (1998-10),0.317,,4.23,30.2,0.38,
Cottonbelt,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),1,6,2,50,,
Coulon,Canada,VMS,,C,Virginia Mines Inc,Tech Rep (2009-05),13.73,0.25,3.84,35.2,1.31,0.20
Craig,Canada,Sediment-hosted Pb-Zn,MVT,C,Glencore Xstrata (?),Yukon Gov't Zn profile,0.875,13.50,8.50,123,,
Cronin,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.160,7.11,8.12,428.50,,0.34
Damascus,Canada,Epithermal,High sulfidation?,NC,Gold Reach Resources,Website (2016-07-11),0.196,2.3,4.7,411,,
Darcy,Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,5.55,,4.70,,,
Darin,Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,0.36,0.20,4.0,,,
DEB,Canada,VMS,,NC,Seabridge Gold (?),NWT Guide 2007,1.02,,2.96,21.90,0.83,
De Maurès,Canada,VMS,,NC,unknown,Vior Expl. & Mining website (2014-07-27),0.350,,7.84,22.31,1.35,
Domergue-Anomaly E,Canada,VMS,,NC,unknown,Vior Expl. & Mining website (2014-07-27),0.03,,5.51,,1.80,
Driftpile Creek,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Teck Resources,(Canada Zinc Metals; Tech Rep 2012-05 Pie),2.44,3.1,11.90,,,
Duck Pond,Canada,VMS,,C,Teck,Ann Info Form 2013,1.70,,4.4,,3.16,
Duncan,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC Geol Surv,2.76,3.30,3.10,,,
Duthie,Canada,VMS,,NC,Silver Standard,BC OFR (1998-10),0.075,1.3,7.1,130,0.5,8.76
East Kemptville,Canada,Skarn (Greisen),,C,Avalon Rare Metals,Factsheet,80.36,,0.120,,0.051,
Eclipse,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Geol Innuit 1991,1,,13,,,
Ecstall,Canada,VMS,,NC,Atna Resources,BC OFR (1998-10),6.350,,2.5,20,0.60,0.50
Ericksen-Ashby,Canada,Skarn,,NC,unknown,BC OFR (1998-10),0.907,2.23,3.8,214.90,,
Errington,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,9.0,1.15,4.03,52.8,1.14,0.8
Esker,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,1.90,1.20,3.50,,,
Estrades-Caribou,Canada,VMS,,C,Cogitore Resources,Tech Rep (2008-12),0.791,0.85,9.29,153.1,0.85,4.81
Explo-Zinc (Kistabiche),Canada,VMS,,C,Cancor Mines,Ann Info Form 2008,0.588,,7.63,,0.35,
Faro,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,4.42,3.4,14.1,72,,
Fault Creek,Canada,VMS,,C,unknown,Fyre Lake Tech Rep (Pacific Ridge),0.05,1.0,7.10,130,4.70,2.0
Fireweed,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Regulus Resources (formerly Jandar Res.),Tech Rep (2006-03; Jandar Res.),0.581,1.34,2.22,342,,
Gayna River,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown (Eagle Plains Res.??),Min Deps Canada 2007 Paradis et al,50,0.20,4.70,,,
George Lake,Canada,VMS,,NC,unknown (formerly Golden Arch Resources?),Tech Rep (2007-04),2.631,0.53,3.67,,,
Goz Creek (Barrier Reef),Canada,Sediment-hosted Pb-Zn,MVT,C,unknown,Yukon Gov't Zn profile,2.495,,11,,,
GP4F,Canada,VMS,,C,Shaanxi Non-ferrous Metals Holding Group Co Ltd,Yukon Gov't Zn profile,1.50,3.10,6.40,90,0.10,2
Gray Rock,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.070,2.10,,342.80,,
Grizzly (Dy),Canada,Sediment-hosted Pb-Zn,Sedex,C,unknown,Yukon Gov't Zn profile,17.24,4.85,6.39,71.60,,0.75
Groundhog (Jeff-Lorne),Canada,Epithermal?,,NC,unknown (Prism Reosurces?),Yukon Gov't Zn profile,0.201,3.18,4.01,91.89,,
Grum,Canada,Sediment-hosted Pb-Zn,Sedex,C,unknown,Yukon Gov't Zn profile,18.65,2.68,4.43,45,,0.75
H.B.,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),6.45,0.77,4.10,4.80,,
Hackett River,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,87,0.5,3.8,144,0.4,0.2
Halfmile Lake,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2011-08),12.340,2.21,7.42,25.7,0.18,
Hart River,Canada,VMS,,NC,unknown,Yukon Gov't Zn profile,0.524,0.87,3.65,49.70,1.45,1.41
High Lake,Canada,VMS,,C,MMG,Annual Report 2013,13.90,0.3,3.8,83,2.5,1.3
Holliday,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.036,14.95,20.78,427.20,,
Homestake,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.250,1.24,2.19,226.60,0.28,0.58
Horne 5,Canada,VMS,,C,Falco Resources,Tech Rep (2014-05),67.618,,0.72,,0.17,1.82
Howard's Pass-Anniv Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,97.95,1.36,4.41,,,
Howard's Pass-Brodel,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,12.10,1.16,4.31,,,
Howard's Pass-Don Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,130.162,1.69,5.29,,,
Howard's Pass-HC Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,57.87,1.31,4.69,,,
Howard's Pass-HP,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,6.18,1.23,4.55,,,
Howard's Pass-OP Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,3.15,1.10,3.52,,,
Howard's Pass-Pelly North,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,6.85,0.90,3.20,,,
Howard's Pass-XY Group,Canada,Sediment-hosted Pb-Zn,Sedex,C,Chihong Canada Mining (formerly Selwyn Resources),Ann Info Form 2012,109.301,1.82,4.80,,,
Hudson Bay Mountain-Silver Lake 2,Canada,Epithermal,,NC,Lions Gate Metals,Tech Rep (2005-04),0.03,6.70,17.70,449.13,,1.71
Hudson Bay-777,Canada,VMS,,C,HudBay Minerals,Ann Info Form 2013,11.38,,4.16,25.1,1.72,1.81
Hudson Bay-Bur,Canada,VMS,,C,HudBay Minerals,Tech Rep (2008-01),1.05,,8.57,12.1,1.92,0.05
Hudson Bay-Lalor,Canada,VMS,,C,HudBay Minerals,Ann Info Form 2013,25.31,,5.01,25.0,0.79,2.90
Hudson Bay-Reed,Canada,VMS,,C,"HudBay Minerals-70%, VMS Ventures-30%",Ann Info Form 2013,2.35,,0.50,5.2,3.85,0.42
Hudson Bay-Watts River,Canada,VMS,,C,HudBay Minerals,Tech Rep (2008-01),6.62,,2.63,25.61,1.88,0.66
Hudvam,Canada,VMS,,C,Murgor Resources,Tech Rep (2008-10),1.36,,1.61,11.29,1.06,3.61
Indian Mountain (BB Lake-Kennedy Lake),Canada,VMS,,NC,Panarc Resources,Brochure,0.92,0.7,9.4,117,,0.7
Inel (AK),Canada,Skarn?,,NC,Snip Gold Corp,Tech Rep (2012-05),0.317,0.10,2.60,13.4,0.10,3.50
Izok Lake,Canada,VMS,,C,MMG,Annual Report 2013,14.20,1.4,12.8,73,2.3,0.18
J&L (Main Zone-Yellowknife-Yellowjacket),Canada,Sediment-hosted Pb-Zn,Sedex,C,Huakan International Mining,Tech Rep (2012-04),7.199,2.12,3.28,66.8,,5.70
Jason,Canada,Sediment-hosted Pb-Zn,Sedex,C,HudBay Minerals,Website (2014-10-26),12.46,4.37,6.57,4.37,,
Jersey,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),7.88,1.63,3.49,3.0,,
Jonpol,Canada,VMS?,,NC,Abcourt Mines,Ann Info Form 2011,2.547,,0.96,38.1,1.12,
Jubilee,Canada,Sediment-hosted Pb-Zn,MVT,C,Merrex Gold,Tech Rep (2009-02),3.465,0.86,3.62,,,
Keg Main Zone,Canada,Skarn-epithermal,Original skarn with epithermal overprint,C,Silver Range Resources,Tech Rep (2013-05),63.97,0.21,0.64,23.63,0.12,
Kennedy Lake-BB Zone,Canada,VMS,,NC,unknown (Axmin Inc??),NWT Guide 2007,0.919,0.7,9.4,117.4,,
Keno Hill-Bellekeno,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-12),0.61,4.8,5.2,566,,
Keno Hill-Flame/Moth,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-03),1.49,1.66,5.59,501,,0.41
Keno Hill-Lucky Queen,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2013-12),0.27,1.91,1.28,868,,0.16
Keno Hill-Onek,Canada,Mesothermal Vein,,C,Alexco Resource Corp.,Tech Rep (2011-09),0.82,1.18,13.10,197,,0.59
Kidd Creek,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,21.47,,4.93,53,2.04,
Kitsault (Mo),Canada,Porphyry,Porphyry Mo,C,Avanti Mining,Tech Rep (2014-03),639.60,0.024,,4.7,,
Kitsault River-Torbrit,Canada,Porphyry,Porphyry Mo,NC,unknown,BC OFR (1998-10),0.786,0.42,0.50,311.90,,
Kitsault River-Wolf,Canada,Porphyry,Porphyry Mo,NC,unknown,BC OFR (1998-10),0.485,0.59,0.12,336,,
Klaza-BRX,Canada,Epithermal,Low sulfidation,C,Rockhaven Resources,Tech Rep (2015-01),9.06,0.69,0.84,84.78,0.09,3.54
Kokanee (Scranton/Sunset),Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.018,8.20,8,240,,9.26
Kootenay King,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.01,5.36,15.60,66.50,,
Kudz Ze Kayah (ABM),Canada,VMS,,C,Teck,Ann Info Form 2005,12.80,1.7,6.0,138,0.81,1.38
Kutcho,Canada,VMS,,C,Capstone Mining,Ann Info Form 2012,12.37,,3.17,36.2,2.16,0.39
La Ronde,Canada,VMS,,C,Agnico Eagle Mines,Reserves-Resources 2013,38.91,0.06,0.74,19.7,0.25,4.58
Lafontaine,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,0.03,,12.03,,,
Langlois,Canada,VMS,,C,Nyrstar,Reserves-Resources 2013,5.71,0.24,9.86,50.4,0.62,0.07
Lara-Coronation Trend,Canada,VMS,,C,Treasury Metals,Website (2014-10-26),1.816,0.53,2.73,33.0,0.99,1.94
Leitch,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,"(see Gatineau, Midland Expl'n)",0.13,,8.0,,,
Lemarchant-South Tally Pond,Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2012-03),3.79,0.87,3.86,42.4,0.42,0.83
Lenora (L.35G),Canada,VMS,,NC,unknown,BC OFR (1998-10),0.317,0.65,6.60,140.5,1.60,4.11
Lessard,Canada,VMS,,C,Landore Resources,Tech Rep (2008-12),0.74,,3.50,38.62,1.88,0.84
Linda 2-RLM,Canada,VMS,,NC,Thundermin Resources,Website (2014-08-11),11.80,,0.80,10.30,0.30,0.90
Logan,Canada,Epithermal,,C,Yukon Zinc Corp,Company Fact Sheet (2014-06),13.08,,5.10,23.70,,
Long Lake,Canada,Sediment-hosted Pb-Zn,,C,Canadian Zinc Corp,Tech Rep (2012-03),0.49,1.53,7.49,47,0.93,0.56
Lundberg-Engine,Canada,VMS,,C,Minco Silver,Tech Rep (2013-07),28.64,0.60,1.42,5.37,0.36,0.07
Lustdust (Canyon Creek),Canada,Skarn,,NC,ALQ Gold Corp,BC OFR (1998-10),0.307,,2.7,54.6,,2.6
Magusi River,Canada,VMS,,C,Globex Mining,Tech Rep (2012-03),1.66,,3.32,38.8,2.29,1.05
Marg,Canada,VMS,,C,Golden Predator (formerly Redtail Metals),Tech Rep (2011-06),14.35,1.39,2.86,35.6,1.10,0.56
Matt Berry (Barb),Canada,VMS,,NC,Silver Range Resources,Website (2016-02-04),0.533,6.10,4.60,102.86,,
McIlvenna Bay,Canada,VMS,,C,Foran Mining Corp,Tech Rep (from media 2013-03-27),25.21,,2.80,17,1.30,0.46
McMillan,Canada,Skarn,,NC,Glencore Xstrata (?),Yukon Gov't Zn profile,1.50,5.5,6.5,103,,
Mel,Canada,Sediment-hosted Pb-Zn,Sedex,NC,Silver Range Resources,Tech Rep (2014-11),5.62,1.82,6.31,,,
Mineral King,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),2.10,1.76,4.12,24.80,,
Ming-Rambler,Canada,VMS,Noranda-type,C,Rambler Metals & Mining,Tech Rep (2015-11),83.63,,0.02,0.95,0.93,0.09
Miya-Emerald Glacier,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.041,6.23,9.49,355,,1.13
Monarch-Kicking Horse,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.76,10,7,1.20,,
Mt Pleasant (North Zone),Canada,Porphyry,Sn-W-Mo,C,Adex Mining,Tech Rep (2013-10),18.49,,0.80,,0.10,
Murray Brook,Canada,VMS,,C,"Votorantim Metais, El Nino",Tech Rep (2012-04),20.71,0.91,2.45,38.4,0.45,0.54
Myra Falls,Canada,VMS,,C,Nyrstar,Reserves-Resources 2013,9.15,0.67,6.22,75.4,0.86,1.82
Nanisivik,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,7.28,0.34,2.77,35,,
Nash Creek,Canada,VMS,,C,Slam Resources,Tech Rep (2009-02),9.020,0.55,2.71,18.2,,
Nepisiguit,Canada,VMS,,C,Slam Resources,Tech Rep (2012-07),7.560,0.38,1.52,15.3,0.15,
New Moon,Canada,Epithermal,Low sulfidation,NC,Northaven Resources Corp (?),BC OFR (1998-10),0.689,1.82,5.51,58.60,,0.99
Ox-C,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.217,2.85,4.63,411.30,,0.47
Packsack,Canada,VMS,,NC,unknown,BC OFR (1998-10),2.70,0.01,0.20,34,0.50,0.30
PD1,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,1.55,,4.72,20,1.1,0.05
Peak,Canada,Epithermal,,C,Grizzly Discoveries,Website (2014-10-26),0.003,14,,411,5,2.40
Peso (Rex),Canada,Intrusion-related,,NC,unknown (Victoria Gold Corp?),Yukon Gov't Zn profile,0.139,3.70,,316,,
Pick Lake,Canada,VMS,,C,Golden Share Mining Corp,Tech Rep (2013-06),1.29,,15.06,36.80,0.84,0.49
Pine Point Group,Canada,Sediment-hosted Pb-Zn,MVT,C,Tamerlane Ventures,Tech Rep (2014-03),25.28,0.88,2.57,,,
Plata,Canada,Epithermal,,NC,Rockhaven Resources,Tech Rep (2008-01),0.31,2.50,2.50,390.80,,3.81
Point Leamington,Canada,VMS,,C,Newmarket Gold,Tech Rep (2013-09),19.37,0.02,1.63,15.42,0.37,0.95
Polaris,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,Min Deps Canada 2007 Paradis et al,5.90,4.0,15.6,,,
Porter-Idaho,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.826,5,5,668.50,,
Portland Canal,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.147,2.78,0.40,120,,0.75
Prairie Creek,Canada,Sediment-hosted Pb-Zn,MVT,C,Canadian Zinc Corp.,Tech Rep (2012-06),11.670,10.9,12.8,197,0.45,
Premier Camp,Canada,Epithermal,,NC,unknown,BC OFR (1998-10),0.359,4.8,,44.9,1.5,
