Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Pb,%Zn,g/t Ag,%Cu,g/t Au
Cerro Lindo,Peru,VMS,,C,Compania Minera Milpo,Ann Rep 2013,85.107,0.29,2.57,24.6,0.75,
Chungar,Peru,Skarn,,C,Volcan Compania Minera,Ann Rep 2013,18.27,2.12,6.62,120.2,0.25,
Contonga,Peru,Skarn,,C,Nyrstar,Reserves-Resources 2013,3.11,1.16,3.96,71.7,0.84,
Corani,Peru,Epithermal,Low-to-intermediate sulfidation,C,Bear Creek Mining Corp,Tech Rep (2011-12),340.38,0.63,0.38,37.2,,
Coricancha,Peru,Skarn,,C,Nyrstar,Reserves-Resources 2012 minus 2013 prod'n,5.72,1.64,3.01,217.7,0.47,4.95
El Brocal (Colquijirca),Peru,Skarn,,C,El Brocal / Buenaventura,Form 20F 2013 (B),45.93,0.86,2.53,28.62,,
El Porvenir,Peru,Skarn,,C,Compania Minera Milpo,Ann Rep 2013,40.973,0.89,4.64,60.3,0.27,
Hilarion,Peru,Skarn,,C,Compania Minera Milpo,Ann Rep 2013,60.456,0.65,4.38,30.5,0.06,
Huampar,Peru,Epithermal-Mesothermal,,NC,Trevali Mining Corp.,Website (2013-10-20),0.874,3.31,3.63,209,,1.30
Huaron,Peru,Epithermal,Low sulfidation?,C,Pan American Silver Corp.,Ann Info Form 2013,22.60,1.55,2.87,164,0.35,
Invicta,Peru,Epithermal,Intermediate sulfidation,C,Lupaka Gold,Ann Info Form 2013,11.18,0.25,0.26,15.0,0.43,2.01
Iscaycruz,Peru,Skarn,,C,Glencore Xstrata,Reserves-Resources 2013,16.73,0.64,5.1,23,0.2,
Islay,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,0.30,0.54,1.12,329.3,,
Julcani,Peru,Epithermal,High to intermediate sulfidation,C,Buenaventura,Ann Rep 2013,0.37,2.27,,629.7,0.44,0.56
La Granja,Peru,Porphyry,Cu-Mo,C,Rio Tinto,Ann Rep's 2010 & 2013,"3,600",,0.09,,0.51,
Mallay,Peru,Skarn,,C,Buenaventura,Ann Rep 2013,0.12,6.64,8.47,392.9,,
Morococha,Peru,Epithermal,?low sulfidation?,C,Pan American Silver Corp.,Ann Info Form 2013,15.30,1.40,4.58,201,0.49,
Oyama,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,6.79,,0.23,27.4,0.75,
Palma,Peru,Sediment-hosted Pb-Zn,Sedex?,C,Volcan Compania Minera,Ann Rep 2013,8,,4.42,19.6,,
Pilarica (Fresnillo Peru),Peru,Epithermal,Low sulfidation,C,Fresnillo,Ann Rep 2013,10.83,0.31,0.50,111,,
Pucarrajo,Peru,Sediment-hosted Pb-Zn,Sedex?,C,Nyrstar,Reserves-Resources 2012 (2007 data),0.79,0.70,8.01,58.80,,
Quiruvilca,Peru,Epithermal,Low sulfidation,C,Southern Peaks Mining,Website (2014-12-12),9.164,0.80,2.39,116,1.09,0.52
Recuperada,Peru,Epithermal,,C,Buenaventura,Ann Rep 2013,0.06,3.55,6.49,307.9,,
Rio Pallanga,Peru,Epithermal,Low sulfidation,C,Volcan Compania Minera,Ann Rep 2013,1.49,0.69,1.16,282,0.26,0.28
San Gregorio,Peru,Epithermal,High sulfidation,C,El Brocal / Buenaventura,Ann Rep 2013 (EB),79.934,1.53,5.22,9.6,,
San Sebastián,Peru,Epithermal,Low sulfidation,C,Volcan Compania Minera,Ann Rep 2013,0.91,3.85,6.06,270.3,,
Santander (Magistral-Puajanca),Peru,Skarn,,C,Trevali Mining Corp.,Tech Rep (2013-11),31.06,0.52,3.32,23,0.08,
Santander Tailings,Peru,Skarn Tailings,,TC,Trevali Mining Corp.,Tech Rep (2013-11),4.19,,1.93,,,
Tajo Norte-La Llave,Peru,Epithermal,Low sulfidation,C,El Brocal / Buenaventura,Ann Rep 2013 (EB),45.93,0.86,2.53,28.6,,
Tambomayo,Peru,Epithermal,Low sulfidation,C,Buenaventura,Ann Rep 2013,1.60,2.10,3.0,286,,13.60
"Uchucchacua (Jancapata, Yumpag)",Peru,Skarn,,C,Buenaventura,Ann Rep 2013,3.84,1.04,1.40,526.0,,
Vinchos,Peru,Epithermal,High sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,1.35,1.60,3.16,145.8,0.12,
Yanque,Peru,Skarn,Non-sulfide Zinc,C,Zincore Metals,Tech Rep (2013-08),27.66,2.13,2.36,,,
Yauli,Peru,Skarn,,C,Volcan Compania Minera,Ann Rep 2013,71.75,0.77,4.49,109.8,0.22,
Yauliyacu,Peru,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,23.54,1.21,3.8,200,0.4,
Yauricocha,Peru,Skarn,,C,Sierra Metals (formerly Dia Bras Expl'n),Tech Rep (2013-11),6.509,2.53,3.33,121.1,0.99,0.97
Zoraida,Peru,Epithermal?,Low sulfidation?,C,Volcan Compania Minera,Ann Rep 2013,5.64,1.30,0.98,53.3,,
Canatuan,Philippines,VMS,,C,TVI Pacific,Website (2014-01-12),0.995,,0.73,13.48,0.75,0.54
Manat-Magas,Philippines,Epithermal,,C,"Alsons Grou-75%, Indophil-25%",Ann Rep 2013 (Indophil),2.70,0.85,1.58,26,,
Ungay-Malobago (Rapu Rapu),Philippines,VMS,,C,KMP Resources Inc. (?) (formerly Lafayette Mining),Ann Rep 2007 (Lafayette),5.14,0.10,2.38,27.8,1.35,2.53
Nakru,PNG,VMS,,C,Coppermoly,Media (2012-07-24),38.40,0.002,0.066,1.80,0.61,0.28
Solwara 1,PNG,VMS,Seafloor Massive sulfide,C,"Nautilus Minerals, PNG Gov.",Ann Rep 2013,2.57,,0.7,29.6,7.7,5.8
Solwara 12,PNG,VMS,Seafloor Massive sulfide,C,"Nautilus Minerals, PNG Gov.",Ann Rep 2013,0.23,,3.60,56,7.30,3.60
"Olza (Rokitno, Zawiercie, Chechlo)",Poland,Sediment-hosted Pb-Zn,MVT,C,Rathdowney Resources,Tech Rep (2012-12),21.20,1.54,5.88,,,
Aljustrel,Portugal,VMS,,NC,Almina-Minas do Alentejo,ILZSG database (2016-07-12),13,1.80,5.60,65,0.20,
Lagoa Salgada,Portugal,VMS,,C,Portex Minerals,Tech Rep (2012-01),8.41,2.73,2.63,52.9,0.34,0.80
Neves-Corvo,Portugal,VMS,,C,Lundin Mining,Reserves-Resources 2013,193.32,0.9,3.8,53,1.2,
Cavnic,Romania,Epithermal,Low sulfidation,NC,unknown,Grancea et al 2002,20,1.50,2,30,1,1
Suior,Romania,Epithermal,Low sulfidation,NC,unknown,Kouzmanov et al 2005,9.30,1.40,2.30,36,,3
50 Years October,Russia,VMS,,NC,unknown,"Herrington et al, 2005",46,,0.47,,1.82,
Alexandrinka,Russia,VMS,,NC,unknown,"Herrington et al, 2005",10,,5.50,,4.40,2.20
Bakr Tau,Russia,VMS,,NC,unknown,"Herrington et al, 2005",1.30,0.67,4.66,,2.63,1.50
Balta Tau,Russia,VMS,,NC,unknown,"Herrington et al, 2005",3.50,,5.10,,3,4.50
Berezitovy,Russia,Orogenic Au?,,C,Nordgold,"Ann Rep 2013, ILZSG (2016-07-12)",27.03,0.45,0.68,8.9,,1.74
Blyava,Russia,VMS,,NC,unknown,"Herrington et al, 2005",10,,5,,3,
Buribai,Russia,VMS,,NC,unknown,"Herrington et al, 2005",30,0.10,1.20,,1.90,
Degtyarskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",130,0.10,1.50,,1,
Gai,Russia,VMS,,NC,unknown,"Herrington et al, 2005",380,0.06,0.74,6.30,1.57,0.90
Goltsovoye,Russia,Epithermal,,C,Polymetal RU,Ann Rep 2012,0.75,2.6,,638,,
Gorevskoe,Russia,Sediment-hosted Pb-Zn,Sedex,NC,unknown,"Leach et al, 2005",300,6.5,1.40,,,
Goroblagodat,Russia,Skarn,,NC,unknown,"Herrington et al, 2005",160,,0.08,,0.13,
Ishkinino,Russia,VMS,,NC,unknown,"Herrington et al, 2005",1,,0.20,5.10,6.40,1.40
Kholodninskoe,Russia,Sediment-hosted Pb-Zn,Sedex,NC,MBC Corp,Website (2015-04-24),519,0.65,4.08,28,,
Khudesskoye,Russia,Orogenic Au?,,NC,Urals Mining & Metallurgical Co. (UMMC),ILZSG database (2016-03-02),31.0,,0.90,11,1.60,0.80
Komaganskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",0.50,,0.85,14.80,2.10,1.60
Korbalikhinskoye,Russia,VMS,,NC,unknown,Min Deps Northeast Asia,24.50,2.01,9.80,55.2,,
Krasnogvardeyskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",14.10,,0.73,,2.16,
Letnye,Russia,VMS,,NC,unknown,"Herrington et al, 2005",6,0.60,1.20,13.70,2.80,
Limonitovoye,Russia,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,80,,1.90,,0.70,
Mauk,Russia,VMS,,NC,unknown,"Herrington et al, 2005",3,,1.70,,1.55,
Nazarovskoe,Russia,Skarn,,C,MBC Corp,Website (2015-04-24),5.08,,7.48,150.0,,0.8
Novoshirokinskoye,Russia,Skarn/Epithermal?,,C,Highland Gold,Ann Rep 2013,7.391,2.20,1.10,66.50,,4.9
Noyon-Tologoisky,Russia,Skarn,,NC,Baojin Mining (ILZSG db?),Min Deps Northeast Asia,14,1.79,1.55,67.5,,
Ozernoe (Ozerny),Russia,Sediment-hosted Pb-Zn,Sedex,C,MBC Corp,Website (2015-04-24),135.06,1.16,6.12,36.7,,
Pavlovskoye,Russia,Sediment-hosted Pb-Zn,MVT,NC,"Rosatom, Atomredmetzoloto (ARMZ)",ILZSG database (2016-07-12),21.40,2.10,9.20,31,,
Perevalnoye,Russia,Epithermal?,Low sulfidation?,C,Polymetal RU,Ann Rep 2012,1.17,2.4,2.4,364,0.35,
Podolskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",80.80,0.13,1.75,,1.73,
Safyanovka,Russia,VMS,,NC,unknown,"Herrington et al, 2005",18.20,,0.86,,2.94,
Salairskoye,Russia,VMS,,NC,unknown,Min Deps Northeast Asia,25,0.13,2.42,8.7,,
Sardana,Russia,Sediment-hosted Pb-Zn,MVT,C,Summa Group,Website (2016-07-14),18.30,2.9,10.4,,,
Sibay,Russia,VMS,,NC,unknown,"Herrington et al, 2005",110,0.04,0.40,16,1.60,0.60
Tarnyerskoe,Russia,VMS,,NC,unknown,"Herrington et al, 2005",9.10,,4.24,,1.58,
Tuva / Kyzyl-Tash Turk,Russia,VMS,,C,Zijin Mining,Website (2014-01-12),12.92,1.5,10.0,52.24,0.64,1.17
Uchaly,Russia,VMS,,NC,unknown,"Herrington et al, 2005",113,,3.73,18,1.08,1.26
Urultun,Russia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),23,2.85,6.74,,,
Uzelga,Russia,VMS,,NC,unknown,"Herrington et al, 2005",69,0.04,2.9,35,1.4,1.80
Yaman Kasy,Russia,VMS,,NC,unknown,"Herrington et al, 2005",2.30,,5.56,33.50,2.56,3.30
Yubilenoe (VMS Cu-Zn),Russia,VMS,,NC,unknown,"Herrington et al, 2005",106,,1,,1.50,
Zimnyee,Russia,VMS,,NC,unknown,"Herrington et al, 2005",12.50,,0.87,7,1.21,0.10
Al Masane-Al Kobra (AMAK),Saudi Arabia,VMS,,C,"AMAK, Trecora Res. (formerly Arabian American Devt Co)",Tech Rep (2009-09) (Trecora),10.04,,4.42,32.7,1.20,0.98
Jabal Dhaylan,Saudi Arabia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),1.20,1.40,5.60,,,
Jabal Sayid-Citadel (Lode 1 only),Saudi Arabia,VMS,,C,Barrick Gold (formerly Equinox Res.),Ann Rep 2010 (Equinox),17.30,,2.3,25,0.9,0.4
Khnaiguiyah (1-2),Saudi Arabia,VMS,,C,"Alara-50%, United Arabian Mining Company (Manajem)-50%",Ann Rep 2013,29.64,,3.87,,0.15,
Chadine,Serbia,VMS,,NC,Aurasian Minerals,Website (2016-05-19),7.70,1.0,2.60,,1.20,
Parlozi,Serbia,Epithermal,,NC,Rosita Mining,Tech Rep (2014-04),6.50,4.07,2.12,130,0.26,
Tenka,Serbia,Sediment-hosted Pb-Zn,MVT,NC,unknown,Armstrong et al (2005),4,1.3,6.7,,,3.50
Black Mountain-Deeps/Broken Hill,South Africa,Sediment-hosted Pb-Zn,Sedex,C,Vedanta,Ann Rep 2013-14,25.90,2.66,2.62,,,
Black Mountain-Gamsberg,South Africa,Sediment-hosted Pb-Zn,Sedex,C,Vedanta,Ann Rep 2013-14,214.30,0.44,6.67,,,
Black Mountain-Swartberg,South Africa,Sediment-hosted Pb-Zn,,C,Vedanta,Ann Rep 2013-14,46.0,2.72,0.54,,,
Bushy Park,South Africa,Sediment-hosted Pb-Zn,MVT,NC,unknown,Wheatley et al 1986,0.63,0.18,3.30,,,
Pering,South Africa,Sediment-hosted Pb-Zn,MVT,C,Minéro Zinc,"Fin. Summary (Pering Base Metals Pty Ltd, 2010-12)",347.77,0.09,0.37,,,
Salt River-Graafwater East/West,South Africa,VMS,,C,Thabex,Website (2014-01-12),14.91,0.58,3.04,18.79,0.45,0.03
Salt River-Hartebeest Vlei,South Africa,VMS,,C,Thabex,Website (2014-01-12),1.13,3.95,0.64,38,0.01,
Salt River-Main,South Africa,VMS,,C,Thabex,Website (2014-01-12),26.01,0.49,1.76,21.70,0.64,0.84
Yeonwha 1,South Korea,Skarn,,NC,Woulfe Mining Corp,Website (2014-12-10),7.20,3.45,4.80,,,
Aguas Teñidas,Spain,VMS,,C,Iberian Minerals,Tech Rep (2009-09),38.12,1.0,3.4,45.3,1.7,0.6
Cobre Las Cruces,Spain,VMS,,C,First Quantum,Ann Info Form 2013,40.71,1.43,2.45,30.0,0.99,0.17
Lomero-Poyatos,Spain,VMS,,C,Petaquilla Minerals,Tech Rep (2012-05),30.35,0.67,2.35,46.6,0.67,2.31
Masa Valverde,Spain,VMS,,C,Cambridge Mineral Resources,"Pres. (undated, website 2014-01-12)",134.1,0.45,1.10,26.80,0.54,0.51
Santa Barbara,Spain,Sediment-hosted Pb-Zn,Sedex,NC,Lundin Mining,ILZSG database (2016-03-02),5.0,7.60,8.90,51,,
Toral,Spain,Mesothermal Vein,,C,Portex Minerals,Tech Rep (2012-08),22.70,3.18,4.16,24.40,0.13,
Abu Samar,Sudan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),3.60,,4.90,72,0.60,
Hassaï,Sudan,VMS,,C,Weatherly Investments II (formerly La Mancha),Tech Rep (2012-08; La Mancha),117.06,,0.67,,1.12,1.21
Barsele (Norra),Sweden,VMS/Epithermal,,C,Orex Minerals,Tech Rep (2012-11),0.54,,0.46,15.9,0.31,1.64
Boliden-Kristineberg,Sweden,VMS/Epithermal,High to intermediate sulfidation,C,Boliden,Ann Rep 2013,12.61,0.3,5.2,38,0.7,0.7
Boliden-Maurliden,Sweden,VMS,,C,Boliden,Ann Rep 2013,2.81,0.3,3.5,49,0.4,1.3
Boliden-Maurliden Östra,Sweden,VMS,,C,Boliden,Ann Rep 2013,0.56,,0.1,10,0.6,0.4
Boliden-Petiknäs N,Sweden,VMS,,C,Boliden,Ann Rep 2013,2.23,0.3,1.8,49,0.7,3.6
Boliden-Renström,Sweden,VMS,,C,Boliden,Ann Rep 2013,7.68,1.2,7.1,143,0.5,2.8
Garpenberg,Sweden,VMS,,C,Boliden,Ann Rep 2013,74.40,1.8,3.9,125,0.05,0.4
Häggån,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,C,Aura Energy,Ann Rep 2013,"2,350",,0.043,,,
Huornaisenvuoma,Sweden,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.55,2.60,4.50,12,0.20,
Rockliden,Sweden,VMS,,C,Boliden,Ann Rep 2013,10.0,0.4,4.0,52,1.8,0.06
Viken,Sweden,Sediment-hosted Pb-Zn (Shale-hosted),,C,Continental Precious Minerals,Tech Rep (2014-02),"3,062",,0.042,,0.012,
Viscaria (A-B Zones),Sweden,IOCG?,,C,Avalon Minerals,Media (2011-11-29),41.26,,0.19,2.81,1.14,0.01
Zinkgruven,Sweden,Sediment-hosted Pb-Zn,Sedex,C,Lundin Mining,Reserves-Resources 2013,26.20,3.2,7.7,80,0.5,
Konimansur Kalon,Tajikistan,Epithermal?,,NC,Tajik Gov't,ILZSG database (2016-07-12),961,0.5,0.4,52,,
Harvest-Terakimti,Tanzania,VMS,,C,East Africa Metals,Tech Rep (2014-02),6.05,,1.57,17.5,1.25,1.30
Mae Sod (Padaeng),Thailand,Sediment-hosted Pb-Zn,MVT,C,Padaeng Industries,Ann Rep 2013,1.61,,10.30,,,
Bou Jabeur-Gite de l'Est,Tunisia,Sediment-hosted Pb-Zn,MVT,C,unknown (formerly Maghreb Minerals plc),"Maghreb Mins. Pres. (Finex'08), Media 2007-12-13",8.84,0.99,2.17,7.30,,
Djebba,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Ann Report (2007),2.70,3.34,6.14,,,
Fej Lahdoum-Dar N’Hal Nord,Tunisia,Sediment-hosted Pb-Zn,MVT,C,unknown (formerly Maghreb Minerals plc),Media 2007-03-07,1.20,5.60,6.0,,,
Kohol,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,0.40,1.75,1.75,,,
Sidi at Taia (Sidi Taya),Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,0.03,1.75,1.75,,,
Zriba-Guebli,Tunisia,Sediment-hosted Pb-Zn,MVT,NC,unknown (formerly Maghreb Minerals plc),Media 2006-12-07,4,1,1,,,
Bayindir,Turkey,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Leach et al (2005),0.90,1.50,7.50,,,
Çayeli Bakir,Turkey,VMS,,C,First Quantum,Ann Info Form 2013,13.45,,2.72,19.1,2.80,0.40
Çorak,Turkey,Epithermal,High sulfidation,C,Mediterranean Resources,Tech Rep (2011-08),4.80,0.38,0.98,2.32,,1.79
Tufanbeyli Group,Turkey,Sediment-hosted Pb-Zn,MVT,C,Red Crescent Resources,Tech Rep (2011-08),6.25,0.01,1.68,1.53,,
Yenice,Turkey,Skarn,,C,Nesko,Türkiye (2013),0.923,7.38,2.85,,1.36,
Yenipazar,Turkey,VMS,,C,Aldridge Minerals,Tech Rep (2013-05),30.04,1.01,1.48,31.2,0.31,0.94
South Crofty,UK,Granite-related,????,C,Celeste Copper,Tech Rep (2012-10),3.50,,0.29,,0.45,
Back Forty,USA,VMS,,C,Aquila Resources Inc,Tech Rep (2014-07),17.471,0.24,2.95,24.8,0.34,2.04
Blue Moon,USA,VMS,,C,Savant Explorations,Tech Rep (2008-02),5.57,0.33,5.60,50.1,0.51,1.4
C.O.D.-Kingman,USA,Mesothermal Vein,,NC,ARS Mining,Tech Rep (2008-07),1.265,2.50,3.50,242,,5.33
C.O.D.-Kingman Tailings,USA,Mesothermal Vein Tailings,,TNC,ARS Mining,Tech Rep (2008-07),0.047,0.26,0.65,82.8,0.07,0.56
Coeur-Galena Complex (Pb-Ag only),USA,Mesothermal Vein,Coeur D'Alene district,C,US Silver & Gold,Tech Rep (2013-03),2.160,6.73,,216.9,,
East Tennessee (Coy-Immel-Young),USA,Sediment-hosted Pb-Zn,MVT,C,Nyrstar,Reserves-Resources 2013,30.62,,3.84,,,
Empire,USA,Skarn,,NC,Musgrove Minerals,Tech Rep (2006-09),27.88,,0.23,8.95,0.42,0.31
Greens Creek,USA,VMS,,C,Hecla Mining,Website (2014-10-26),9.934,3.2,8.1,419,,3.1
Lik,USA,Sediment-hosted Pb-Zn,Sedex,C,Zazu Metals Corp,Ann Info Form 2013,23.45,2.71,8.23,47.4,,
Lone Mountain-Upper Lake Valley,USA,Skarn,,NC,Copper One,Tech Rep 2009-11,6.7,,5,41,2.20,0.2
Lucky Friday,USA,Mesothermal Vein,Coeur D'Alene district,C,Hecla Mining,Website (2014-10-26),32.191,4.5,1.2,240,,
Middle Tennessee (Gordonsville-Elmwood-Cumberland),USA,Sediment-hosted Pb-Zn,MVT,C,Nyrstar,Reserves-Resources 2013,20.10,,3.70,,,
Montana Tunnels (M-pit),USA,Porphyry,Au,C,Eastern Resources,Reserves-Resources 2008,34.272,0.16,0.48,7.23,,0.44
Niblack (Lookout-Trio),USA,VMS,,C,Heatherdale Resources,Website (2014-01-14),9.03,,1.56,26.0,0.90,1.59
Pend Oreille (Yellowhead),USA,Sediment-hosted Pb-Zn,MVT,C,Teck,Ann Info Form 2013,6.60,1.2,6.4,,,
Red Dog,USA,Sediment-hosted Pb-Zn,Sedex,C,Teck,Ann Info Form 2013,53.10,4.5,17.2,81.7,,
Reef Ridge,USA,Sediment-hosted Pb-Zn,MVT,NC,Doyon,Leach et al (2005),11.80,,0.99,,,
Revenue (Virginius),USA,Epithermal,,C,Fortune Minerals,Tech Rep (2014-07),1.027,3.58,1.15,689,0.18,1.39
Revenue (Yellow Rose),USA,Epithermal,,C,Fortune Minerals,Tech Rep (2014-07),0.321,1.78,1.62,357,,1.15
San Juan,USA,Epithermal,Low sulfidation,C,Hecla Mining,Website (2014-10-26),3.260,1.4,1.1,387,,
Silver Valley-Star,USA,Mesothermal Vein,Coeur D'Alene district,C,Hecla Mining,Website (2014-10-26),3.444,6.2,6.2,109,,
Sunshine (inferred only),USA,IOCG,,C,Sunshine Silver Mines,Tech Rep (2012-12),8.269,0.35,0.02,836,0.26,
Su-Lik,USA,Sediment-hosted Pb-Zn,,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,34,2.0,8.0,30,,
Upper Kobuk-Arctic,USA,VMS,,C,NovaCopper,Tech Rep (2013-02),27.21,0.74,4.37,51.8,3.26,0.70
West Desert (Crypto),USA,Skarn,,C,InZinc Mining (formerly Lithic Res.),Tech Rep (2014-05),71.11,,1.88,,0.21,
Khandiza,Uzbekistan,VMS,,C,Marakand Minerals,Website (2014-10-07; also Oxus Gold),14.41,3.50,7.24,134,0.86,0.38
Parys Mountain,Wales,VMS,,C,Anglesey Mining,Tech Rep (2012-11),25.775,0.57,1.10,13.3,0.85,0.15
Jabali,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,C,unknoown,Mondillo et al 2014,12.60,1.20,8.90,68,,
Jabali Stockpile,Yemen,Sediment-hosted Pb-Zn,Non-sulfide Zinc deposit,SNC,unknoown,Mondillo et al 2014,0.12,3.50,24,160,,
Kabwe,Zambia,Sediment-hosted Pb-Zn,MVT,NC,Berkley Mineral Resources,ILZSG database (2016-07-12),1.10,2.80,15,,,
Kabwe Tailings,Zambia,Sediment-hosted Pb-Zn,MVT,NC,Berkley Mineral Resources,ILZSG database (2016-07-12),0.60,7.30,10.50,,,