Project,State/ Province,Country,Principal Deposit type,Total Mineral Resource Mt (Tonnes of Million),La ppm,Ce ppm,Pr ppm,Nd ppm,Sm ppm,Eu ppm,Gd ppm,Tb ppm,Dy ppm,Ho ppm,Er ppm,Tm ppm,Yb ppm,Lu ppm,Y ppm,Sc ppm
Montviel,Quebec,Canada,Carbonatite,250.60000000000002,3171.7016046639383,6110.7505197859045,644.212181758867,2074.2735796428087,214.20474879559535,41.04916865129508,72.06574015466329,72.16675234452893,20.50403428554312,2.6189064732969882,4.6053441624029965,0.8756025501477219,2.868334025136263,0.23405652839176833,57.952739206642015,
Clay - Howells,Ontario,Canada,Carbonatite,11.971,972.0545086243939,1750.2193516938826,179.43787520465708,643.0099857346647,103.4824501032347,25.90816094566947,69.40689655172415,26.064068222817472,43.5656836461126,8.729688244323295,17.49032730314755,,17.56394640682095,,196.85844862097673,
Lavergne-Springer,,Canada,Carbonatite,49.595,1921.9941982083606,3410.214992425732,566.4023779442665,1233.6391078721954,160.8151076715199,36.410730554683205,90.50886025079002,8.688022740939157,36.73572289431797,8.729688244323295,10.635261628813804,,8.781973203410475,,161.52562185959653,
Oka,Quebec,Canada,Carbonatite,210.0,,,,,,,,,,,,,,,,
Ashram (Eldor),,Canada,Carbonatite ,422.74,3076.960456108417,5746.373625396686,618.2653655683146,2208.0000996150584,284.0192697585486,66.36735932546182,156.67625079734344,15.912559416253396,63.068154504869995,8.911947383378973,18.734104138524426,1.8364579766830114,11.604029152198141,1.7628763744772544,10.404728521682063,
Foxtrot,,Canada,Felsic Volcanic,14.393999999999998,1563.6269916967194,3332.8413966153134,377.3971959366269,1370.9715643723002,249.2250867604563,12.334305329097146,196.6561283676628,32.07922927807504,184.38526385547152,35.72494823803925,101.31011448747097,14.571050829827307,91.5804714273118,14.070060813187919,1015.9605501855989,
Buckton,Alberta,Canada,Shale-hosted,4712.05,41.43037669753313,71.7163051425786,8.957100084775432,34.40596104384757,6.797664394152278,1.4631451511603,5.797806757187827,0.8688022740939157,5.135722215585942,1.0475625893187954,2.973355641535083,0.43780127507386096,2.9858708891595613,0.43968940041212246,31.831991815663887,11.957442512777101
Buckton south,Alberta,Canada,Shale-hosted,496.698,39.734859738505925,69.58189129904947,8.971893760232854,33.779457917261055,6.640123881624226,1.4681291202546032,5.812827586206897,0.9556825015033074,5.402144772117963,1.0475625893187954,3.060807278050821,0.43780127507386096,3.0736906211936663,0.6155651605769714,30.94614812321754,14.277748129241836
Grande-Vallée,,Canada,Shale-hosted,1040.0,,,,,,,,,,,,,,,,
Muluozhai,Sichuan,China,Carbonatite,0.45,,,,,,,,,,,,,,,,
Weishan,shandong,China,Carbonatite,1856.25,,,,,,,,,,,,,,,,
Maoniuping,Sichuan,China,Carbonatite,1.2,,,,,,,,,,,,,,,,
Miaoya,Hubei,China,Carbonatite,71.5,,,,,,,,,,,,,,,,
Dalucao,Sichuan,China,Carbonatite,0.76,,,,,,,,,,,,,,,,
Bayan Obo,Inner Mongolia,China,Carbonatite,1540.0,12628.336264062658,26012.380272813825,2784.7223677278516,7942.882899656626,661.4186990878004,206.7224949102586,309.9007058390618,45.21010581947641,140.88031855774085,,31.205109645943313,,91.39799691340937,22.88023974277187,157.49384305577905,
Southern Seven Provinces ,"Jiangxi, Fujian, Yunnan, Guangdong",China,Laterite / Soil / Clay,,,,,,,,,,,,,,,,,
Zhijin,Guizhou,China,Shale-hosted,4400.0,,,,,,,,,,,,,,,,
Bayan Obo (Tailings Dam),Inner Mongolia,China,Tailings,1200.0,,,,,,,,,,,,,,,,
Katajakangas,,Finland,Alkaline ,0.46,,,,,,,,,,,,,,,,
Korsnäs,,Finland,Carbonatite ,0.86,,,,,,,,,,,,,,,,
Hangaslampi Co,,Finland,Hydrothermal Undifferentiated,0.6,,,,,,,,,,,,,,,,
Mabounie,,Gabon,Carbonatite,380.0,,,,,,,,,,,,,,,,
Storkwitz,,Germany,Carbonatite,4.4,,,,,,,,,,,,,,,,
Karrat,,Greenland,Alkaline,26.3,2245.0,5036.9,470.1,2003.6,358.2,106.0,270.1,38.8,180.8,28.2,69.1,7.9,42.6,5.5,721.5,
Motzfeldt (Aries),,Greenland,Alkaline,340.0,529.854975139648,859.0588837436023,88.86447152992542,278.6376604850214,49.32663454920854,40.41673107524438,40.60303448275862,40.65994642759526,4.530831099195711,9.078875774096229,4.547485098818363,4.553133260768155,25.11644336175396,4.5727697642860745,243.6320160133208,
Tanbreez,,Greenland,Alkaline,4300.0,1157.0,2145.0000000000005,208.00000000000003,780.0,149.5,19.5,162.5,32.5,188.50000000000003,39.0,156.0,19.5,130.0,19.5,1235.0000000000002,
Kvanefjeld,Kujalleq,Greenland,Alkaline,619.0,,,,,,,,,,,,,,,680.3427984340956,
Sørensen,,Greenland,Alkaline,242.0,,,,,,,,,,,,,,,704.7532460630968,
Zone 3,,Greenland,Alkaline,95.0,,,,,,,,,,,,,,,764.5982144438738,
Sarfartoq ST-1 Zone,Qaasuitsup,Greenland,Carbonatite,12.421,2552.9233398970764,6010.888048086624,704.7676202155016,2328.0511386025305,231.8707540395839,51.57478215721862,126.5851651679997,10.203268185242877,24.822092784575464,,,,,,46.97108198296432,
Manavalakuruchi,Tamilnadu/ Kanyakumari,India,Alluvial/Placer,103.7,,,,,,,,,,,,,,,,
Amma Dongar(Ambadungar),,India,Carbonatite,11.6,,,,,,,,,,,,,,,,
Andhra Pradesh,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Bihar,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Kerala,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Odisha,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Tamil Nadu,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
West Bengal,,India,Heavy Mineral Sands,,,,,,,,,,,,,,,,,
Mrima Hill,,Kenya,Carbonatite,159.4,8657.572166225213,14134.836186210108,1428.319443119538,4968.79014653739,696.8981456615095,196.0617145792516,502.78906675896684,61.734728564379836,307.91263148334406,53.857357066185514,133.33960596249318,16.636448452806718,90.18601653276522,12.311303211539427,1516.8410294938722,
Ruri Complex,,Kenya,Carbonatite,3.75,,,,,,,,,,,,,,,,
Kutessay II,Chui,Kyrgyzstan,Alkaline,18.011,367.7958892694997,437.35487014040814,84.00413664282229,181.7867295603932,91.11559794591835,5.111362811600298,79.781706494109,34.44614068687157,136.45116375315578,12.667290446139868,72.22577885956943,5.555829143043803,73.11471152245643,11.111658286087605,594.0292519742433,
Sarysai,,Kyrgyzstan,Carbonatite,7.0,,,,,,,,,,,,,,,,
AK-Tyuz,,Kyrgyzstan,Granites and Granitic Pegmatites,15.0,,,,,,,,,,,,,,,,
Karajilga,,Kyrgyzstan,Granites and Granitic Pegmatites,0.957,,,,,,,,,,,,,,,,
Tantalus,,Madagascar,Laterite / Soil / Clay,435.0,144.9554969001289,264.66731659761155,29.906312534109514,98.59486447931526,18.10942876806607,2.1590134121391227,14.74896551724138,2.258885912644181,13.06970509383378,2.7062033557402216,7.870647286416396,1.1382833151920386,7.02557856272838,1.1431924410715184,74.80621047597116,
Songwe Hill,,Malawi,Carbonatite,56.489999999999995,2442.3957453905346,4433.972300058759,475.3331685481706,1636.2188343839784,240.59639117801825,63.003443467554526,150.85203166871162,18.443707968470623,88.37934019497152,14.526454676130891,34.53000544025277,4.556264287766381,24.92407632967925,3.472215286313468,372.8588925678864,
Kangankunde,,Malawi,Carbonatite,2.53,10773.774673132404,17991.230416768223,1702.7799890849556,5089.209700427961,383.91988988300074,69.57204819277108,132.42835862068964,25.786051495107422,295.54959785522794,3.701387815593077,3.7079493882672803,3.7125548126263412,,,3.3387192886117654,
Chilwa Island,,Malawi,Carbonatite,0.375,,,,,,,,,,,,,,,,
Tundulu,,Malawi,Carbonatite,3.225,,,,,,,,,,,,,,,,
Bou Naga,,Mauritania,Carbonatite,0.1,,,,,,,,,,,,,,,,
Khaldzan-Buregtey,,Mongolia,Alkaline,425.0,,,,,,,,,,,,,,,,
Mushagai Khudag (Mushugay-Khuduk),,Mongolia,Carbonatite,367.0,,,,,,,,,,,,,,,,
Lugin Gol,,Mongolia,Carbonatite,0.72,,,,,,,,,,,,,,,,
Xiluvo,,Mozambique,Carbonatite ,1.1,,,,,,,,,,,,,,,,
Congolone,,Mozambique,Heavy Mineral Sands,167.0,,,,,,,,,,,,,,,,
Marrua,,Mozambique,Heavy Mineral Sands,54.0,,,,,,,,,,,,,,,,
Mpitini,,Mozambique,Heavy Mineral Sands,287.0,,,,,,,,,,,,,,,,
Mualadi,,Mozambique,Heavy Mineral Sands,327.0,,,,,,,,,,,,,,,,
Namalope,,Mozambique,Heavy Mineral Sands,696.0,,,,,,,,,,,,,,,,
Nataka,,Mozambique,Heavy Mineral Sands,6245.0,,,,,,,,,,,,,,,,
Pilivili,,Mozambique,Heavy Mineral Sands,227.0,,,,,,,,,,,,,,,,
Quinga North,,Mozambique,Heavy Mineral Sands,71.0,,,,,,,,,,,,,,,,
Quinga South,,Mozambique,Heavy Mineral Sands,71.0,,,,,,,,,,,,,,,,
Ondurukurme Complex,,Nambia,Carbonatite,8.0,,,,,,,,,,,,,,,,
Sæteråsen,,Norway,Alkaline,8.0,,,,,,,,,,,,,,,750.0,
Misværdalen,,Norway,Alkaline,30.0,,,,,,,,,,,,,,,,
Kodal,,Norway,Alkaline,48.9,,,,,,,,,,,,,,,,
Fen,,Norway,Carbonatite,486.0,,,,,,,,,,,,,,,,
Gloserhei,,Norway,Granites and Granitic Pegmatites,4.0,,,,,,,,,,,,,,,,
Høgtuva,,Norway,Granites and Granitic Pegmatites,0.35,,,,,,,,,,,,,,,,
Tysfjord,,Norway,Granites and Granitic Pegmatites,100.0,,,,,,,,,,,,,,,,
Biggejav'ri,,Norway,Hydrothermal Undifferentiated,0.05,,,,,,,,,,,,,,,,
Los Conchales,,Peru,Heavy Mineral Sands,1072.8,,,,,,,,,,,,,,,,
Tres Chosas,,Peru,Heavy Mineral Sands,256.3,,,,,,,,,,,,,,,,
Tommot,,Russia,Alkaline,0.36111111111111105,,,,,,,,,,,,,,,,
Koashvinskoe,,Russia,Alkaline,834.203,,,,,,,,,,,,,,,,
N'orkpakhk,,Russia,Alkaline,60.623,,,,,,,,,,,,,,,,
Yuksporskoe,,Russia,Alkaline,537.012,,,,,,,,,,,,,,,,
Oleniy ruchey,,Russia,Alkaline,402.286,,,,,,,,,,,,,,,,
Rasvumchorr,,Russia,Alkaline,339.829,,,,,,,,,,,,,,,,
Apatity Circus,,Russia,Alkaline,122.215,,,,,,,,,,,,,,,,
Kukisvunchorr,,Russia,Alkaline,415.971,,,,,,,,,,,,,,,,
Partomchorr,,Russia,Alkaline,877.477,,,,,,,,,,,,,,,,
Lesnoe,,Russia,Alkaline,1.511,,,,,,,,,,,,,,,4000.0,
Kedykvyrpakhk,,Russia,Alkaline,9.0,,,,,,,,,,,,,,,,
Karnasurt,,Russia,Alkaline,23.759,,,,,,,,,,,,,,,,
Alluaiv,,Russia,Alkaline,178.84,,,,,,,,,,,,,,,,
Umbozero,,Russia,Alkaline,180.469,,,,,,,,,,,,,,,,
Lovozero,,Russia,Alkaline,612.432,,,,,,,,,,,,,,,,
Afrikanda,Kola Peninsula,Russia,Alkaline,627.3,,,,,,,,,,,,,,,,
Sakharjok,,Russia,Alkaline,35.8,,,,,,,,,,,,,,,270.0,
Aryskan ,Tuva,Russia,Alkaline,0.38888888888888884,,,,,,,,,,,,,,,,
Tomtor,Yakutia,Russia,Carbonatite,150.0,,,,,,,,,,,,,,,,
Chuktukonskoye,,Russia,Carbonatite,455.0,,,,,,,,,,,,,,,,
Umm al Birak,,Saudi Arabia,Alkaline,6.6,371.0,800.0,,,,,,,,,,,,,311.0,
Ghurayyah,,Saudi Arabia,Alkaline,385.0,61.0,144.0,,,,,,,,,,,,,1326.0,
Jabal Sa'id Zr deposit,,Saudi Arabia,Alkaline ,23.0,587.0,1301.0,,,,,,,,,,,,,4151.0,
Jabal Hamra,,Saudi Arabia,Alkaline ,18.0,2593.0,3432.0,,,,,,,,,,,,,1592.0,
Jabal Tawlah,,Saudi Arabia,Alkaline ,6.4,19.0,137.0,,,,,,,,,,,,,5216.0,
Steenkampskraal,Western Cape,South Africa,Alkaline,0.4165,30333.23517068727,62531.948870647495,7257.268536533717,26461.731534268492,4156.193098023793,86.3605364855649,2880.969458128079,317.73202941905373,1442.4268366864176,223.9537068201546,467.2835943956168,45.28326273753164,190.7153604438121,22.918744016679902,5474.281332393727,
Pilanesberg,,South Africa,Alkaline,13.5,,,,,,,,,,,,,,,,
Zandkopsdrift (Sandkopsdrif),Northern Cape,South Africa,Carbonatite,42.480000000000004,4834.057870618429,8405.410147276372,886.5994937636062,3041.885280914271,437.063941996752,113.8462816193888,274.4905513345023,32.10968856703031,150.96206762494765,25.276639690484117,62.17136117644256,7.6264817220964485,43.20697738966076,5.796282114660749,725.7069927976685,
Glenover (JV),Limpopo,South Africa,Carbonatite,26.243,1651.7551416176414,4560.049268763992,592.4373226146104,2259.3907151574554,362.83253950595105,92.46951854495903,211.82232145401957,21.018605385046428,80.26942236724896,10.941138581964235,19.849902737180297,2.0737383361170347,9.316203417693671,1.0413409205639048,233.59964727001844,
Glenover Stockpile,Limpopo,South Africa,Carbonatite,1.329,3149.5930366460007,7554.407755301,871.9313589230488,3489.503737517832,505.2358155540262,123.97918617867697,281.08057931034483,28.039968972342592,109.872654155496,15.242035674588474,28.84154972289031,3.3973378945731607,15.333325213154687,1.7059948735990351,351.3529590987192,
Palabora (Phalaborwa) Complex,Limpopo,South Africa,Carbonatite,6374.0,,,,,,,,,,,,,,,,
Steenkampskraal Lower Tailings Dam,Western Cape,South Africa,Tailings,0.0286,15433.49702289608,17683.818198308425,3845.0973258140807,13374.607703281028,2155.8843771507227,86.3605364855649,1561.6551724137933,173.76045481878316,871.3136729222521,87.29688244323295,262.3549095472132,26.268076504431658,26.345919610231423,8.79378800824245,3070.9917984872372,
Steenkampskraal Upper Tailings Dam,Western Cape,South Africa,Tailings,0.0092,15989.59227954619,18670.686203431418,3744.7904390537133,13702.635985858711,2110.8920075406204,80.72832758433242,1527.706146926537,173.76045481878316,859.9487119710924,87.29688244323295,262.3549095472132,25.125986221630285,87.81973203410475,8.79378800824245,3009.366545005888,
Palabora (Phalaborwa) Tailings Dam,Limpopo,South Africa,Tailings,297.0,,,,,,,,,,,,,,,,
Norra Kärr,Smaland ,Sweden,Alkaline ,58.1,502.1151570865131,1129.0865547773071,143.75178355773468,570.5737856664072,150.87034718364166,18.83625863177322,161.0932874354561,32.43967127931803,217.69944581081887,47.963701916572845,147.42599894206427,22.953747540085924,141.27035792377794,19.27141236057608,1598.2059881778189,
Olserum,,Sweden,Alluvial/Placer,12.4,576.8651155100481,1316.520229100658,160.28129712981277,629.3892365744788,144.51379792642587,,154.06651835372637,26.064068222817475,154.728444175387,34.91875297729318,90.76633564173747,12.074841618972618,82.36640996424502,8.79378800824245,845.7927990912223,
Tåsjö,,Sweden,Shale-hosted,200.0,,,,,,,,,,,,,,,,
Ngualla,,Tanzania,Carbonatite,195.0,5237.014284558567,9326.406884768494,902.2886142580229,3167.180088518235,326.38532810983463,68.50339191308048,149.43589573828473,13.488188212507907,31.59535299374442,3.956921459175628,11.891808074389276,,3.9806207564258727,,85.66116704842285,
Wigu Hill,Morogoro,Tanzania,Carbonatite,3.3,8200.0,10400.0,800.0,2100.0,100.0,,,,,,,,,,,
Canakli 1,,Turkey,Alkaline ,80.0,170.53587870603403,293.8840343946084,30.624811544260176,104.5962910128388,14.660013764624914,3.7135030688792905,9.543448275862069,1.1902958326646338,5.837801608579089,1.0475625893187954,2.8859040050193454,0.43780127507386096,2.8102314250913523,0.4045142483791527,31.49735177935628,10.431231509948374
Canakli 2,,Turkey,Alkaline ,414.0,145.80817629365907,244.22495933069953,24.830928279129875,83.16262482168331,12.072952512044047,2.9362582405092064,8.675862068965518,1.0202535708554004,5.315013404825737,0.9602657068755625,2.71100073198787,0.4027771730679521,2.6345919610231423,0.38692667236266776,27.560182806936744,11.083183479320146
Aksu Diamas Project Area( exclude Canakli 1&2),,Turkey,Alkaline ,36.0,,,,,,,,,,,,,,,,
Kizilcaoren,Eskisehir,Turkey,Carbonatite,30.0,,,,,,,,,,,,,,,,
Bokan - Dotson,Alaska,USA,Alkaline ,6.579,469.82,1425.63,175.95,692.69,183.57,18.53,187.42,34.08,211.85,41.43,115.73,15.68,87.26,10.36,1216.0,
Pajarita Mountains,New Mexico,USA,Alkaline ,24.0,,,,,,,,,,,,,,,,
Bald Mountain,Wyoming,USA,Alluvial/Placer,18.0,,,,,,,,,,,,,,,,
Bear Lodge,Wyoming,USA,Carbonatite,51.709545,10165.733485392324,6119.252151827289,1176.914584988941,4187.010286057512,682.3487521280834,151.26729759155788,366.8976406533575,30.856198660977594,102.3105686468181,11.123460652371946,20.311793260207924,2.4009943611945426,12.294762484774663,1.7587576016484898,287.0403400313442,
"Iron Hill(Powderhorn, Cebolla Creek)",Colorado,USA,Carbonatite,2424.0,,,,,,,,,,,,,,,,
Lemhi Pass,Idaho,USA,Carbonatite,0.5,,,,,,,,,,,,,,,,
Wet Mountains,Colorado,USA,Carbonatite,13.957,,,,,,,,,,,,,,,,
Mountain Pass,California,USA,Carbonatite,16.713069255,23003.47192947583,33802.75973739472,2810.6804258461125,7639.062768617936,585.2262693977601,72.39758184705344,145.46260590603575,11.098399701406425,23.65227262110729,2.787906186859719,4.189272600629942,1.3981586160160806,1.4023019345819845,,81.72912169730543,
Elk Creek,Nebraska,USA,Carbonatite,103.376,,,,,,,,,,,,,,,,
Hicks Dome,Illinois,USA,Carbonatite ,14.7,,,,,,,,,,,,,,,,
Round Top,Texas,USA,Felsic Volcanic,1033.8249999999998,20.300000000000004,81.00000000000001,10.4,28.800000000000004,10.5,0.2065260077866177,10.6,3.6000000000000005,31.634739922133825,8.0,32.8,7.1000000000000005,56.50000000000001,8.9,220.57369961066914,
Diamond Creek,Idaho,USA,Granite -Related Skarn,5.8,,,,,,,,,,,,,,,,
Hall Mountain,Idaho,USA,Granite -Related Skarn,0.1,,,,,,,,,,,,,,,,
Music Valley,California,USA,Granites and Granitic Pegmatites,0.05,,,,,,,,,,,,,,,,
La Paz,Arizona,USA,Hydrothermal Undifferentiated,128.2,,,,,,,,,,,,,,,,
Gallinas Mountain,New Mexico,USA,Hydrothermal Undifferentiated,0.046,,,,,,,,,,,,,,,,
Scrub Oaks,New Jersey,USA,IOCG,10.0,,,,,,,,,,,,,,,,
Pea Ridge,Missouri,USA,IOCG,0.6,,,,,,,,,,,,,,,,
Mineville,,USA,Tailings,9.0,1196.7355288195938,2367.6094651609933,275.6355644492956,1181.1302773815187,225.9251846753843,30.013165113283318,272.1367295019157,144.00108092348623,144.41733690795354,45.89682092720996,129.36234747347996,38.23269890633908,129.90685072404926,46.23382899711291,1297.4266655251072,
Dong Pao,,Vietnam,Carbonatite,500.0,,,,,,,,,,,,,,,,
Mau Xe North,,Vietnam,Carbonatite,557.0,,,,,,,,,,,,,,,,
Nkombwa Hill,,Zambia,Carbonatite,130.0,,,,,,,,,,,,,,,,
