Deposit,Country,Primary Deposit Type,Secondary Deposit Type,,Company,Source,Mt ore,%Zn
Ain Khala,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,7.1,1.9
Boukdema-Kef Semmah,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),12,6.5
El Abed,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),38,3.52
Kherzet Youcef,Algeria,Sediment-hosted Pb-Zn,MVT,NC,unknown,USGS OFR 1297,1.6,18.4
Oued El Kebir,Algeria,VMS,Kuroko,C,formerly Celamin Holdings,Annual Report 2011,11.5,2.1
Tala Hamza,Algeria,Epithermal,,C,Terramin Australia,Annual Report 2013,68.6,4.6
Tan Chaffao Est,Algeria,VMS,,NC,Cancor Mines,Tech Rep (2012-02),6.585,1.65
Aguilar,Argentina,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,Reserves-Resources 2013,8.82,4.6
Los Azules,Argentina,Porphyry,,C,McEwen Mining,Tech Rep (2013-10),"1,786",0.02
Navidad,Argentina,Epithermal,,C,Pan American Silver Corp.,Ann Info Form 2013,201.1,
Pingüino,Argentina,Epithermal,Low sulfidation,C,Argentex Mining Corp,Tech Rep (2014-08),59.25,0.9
Pirquitas,Argentina,Epithermal,Low sulfidation?,C,Silver Standard,Ann Info Form 2013,33.6,1.5
Akhtala (Alaverdi),Armenia,VMS,,NC,unknown,Mederer et al 2014,1.2,4.48
Armanis-Sagamar,Armenia,VMS,,NC,Global Metals,Website (2016-05-01),16.3,2.2
Shahumyan (Kapan),Armenia,Epithermal,Low sulfidation?,C,Dundee Precious Metals,Ann Info Form 2013,13.4,1.74
Shamlugh,Armenia,VMS,,NC,unknown,Calder et al (2014),4.5,4.96
Marjan,Armenia,Epithermal,Low sulfidation,NC,Global Gold Corp,Website (2014-08-11),15.4,1.21
Admiral Bay,Australia,Sediment-hosted Pb-Zn,MVT,C,Kagara,Ann Rep 2011,96.7,2.4
Allison's Lode,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.057,4.41
Altia,Australia,Sediment-hosted Pb-Zn,Sedex,C,Breakaway Resources (now Minotaur Exploration),Ann Rep 2012,5.8,0.5
Anaconda,Australia,VMS,,C,Glencore (?),Minedex (2013-05-05),0.877,1.97
Angas,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.91,4.2
Area 55,Australia,Magmatic sulfide,Sediment-hosted polymetallic,C,Hunnan Australia Resources,Ann Rep 2007 (Compass Res.),12.2,
Balcooma Group,Australia,VMS,,C,Kagara,Ann Rep 2011,2.977,5.06
Bali Hi,Australia,Epithermal,Low sulfidation?,C,Artemis Resources (?),Minedex (2013-05-05),0.095,
Barrow Creek-Home of Bullion,Australia,VMS,,C,Kidman Resources,Ann Rep 2015,2.5,2
Belara,Australia,VMS,,C,Ironbark Zinc,Website (2013-03-22),2.545,3.75
Bentley,Australia,VMS,,C,Independence Group,Ann Rep 2013,2.77,9.6
Bowdens,Australia,Epithermal,Low sulfidation,C,Kingsgate Consolidated,Ann Rep 2013,88,0.39
Broken Hill (Aust),Australia,Sediment-hosted Pb-Zn,Sedex,C,Perilya Mines,media (2012-12-28),21.7,9.2
Broken Hill (Aust)-Rasp,Australia,Sediment-hosted Pb-Zn,Sedex,C,Toho Zinc,Ann Rep 2009 (CBH),16.5,6.6
Browns Reef,Australia,Orogenic Au,,C,Comet Resources,Ann Rep 2007,20.5,2
Brown's-Brown's East,Australia,Sediment-hosted polymetallic,,C,HNC Australia Resources,NT DME Fact Sheet 2013-09,54.5,0.6
Bulman,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,1,11
Burns Peak,Australia,VMS,,NC,Mancala Resources Pty Ltd,DPEMP (2014),0.12,9.1
Burnside-Iron Blow,Australia,VMS,,C,Crocodile Gold,Tech Rep (2013-07),3.18,3.3
Cannington,Australia,Sediment-hosted Pb-Zn,Sedex,C,BHP Billiton,Ann Rep 2013,96.3,2.98
Carboona,Australia,Epithermal,Low sulfidation?,C,unknown,Aust Mines Atlas (2013-10-01),0.035,1.37
Century-Century East,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,17.6,1.5
Chakola-Harnett Central,Australia,VMS,,C,Capital Mining,Ann Rep 2011,1.22,0.7
Comstock (Australia),Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),3.062,1.48
Conrad-King Conrad-Greisen,Australia,Skarn,,C,Malachite Resources,Ann Rep 2009,3.13,0.56
Coxco,Australia,Sediment-hosted Pb-Zn,Sedex,C,Admiralty Resources,NT DME Fact Sheet 2013-09,7.8,4.2
Daly River Anomaly A,Australia,VMS,,NC,Troy Resources,Ann Rep 2007,0.76,9.99
Develin Creek-Rookwood,Australia,VMS,,C,Fitzroy Resources,Ann Rep 2011,1.75,2.05
Djibigan (Manbarrum),Australia,Sediment-hosted Pb-Zn?,Sedex?,C,TNG Ltd (sold to Legacy Iron late 2013),Ann Rep 2012,19.93,0.5
Dugald River,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2013,63,12.1
Eastman,Australia,VMS,,C,Massive Resources Pty Ltd,Minedex (2013-05-05),3.4,1.7
Ediacara,Australia,Sediment-hosted Pb-Zn,,C,unknown,SA DMITRE Website (2014-12-15),17,
Emull-Lamboo,Australia,VMS,,C,Northern Star Resources,Minedex (2013-05-05),4.7,4.5
Endeavour (Elura),Australia,VMS,,C,Toho Zinc,Tech Rep (2013-04) (Couer Mining),17.4,7.8
Evelyn,Australia,Skarn,,NC,Crocodile Gold,Ann Info Form 2013,0.01,3.7
Explorer 108,Australia,Sediment-hosted Pb-Zn,Sedex,C,Westgold Resources (now Metals-X),Ann Rep 2013,11.87,3.24
Federation,Australia,Skarn,,C,unknown,Ann Rep 2009,0.56,1.4
Flinders Group,Australia,Sediment-hosted Pb-Zn,MVT,C,Perilya Mines,Ann Rep 2011,0.69,30.2
Fossey-Fossey East,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.43,11.4
Golden Grove,Australia,VMS,,C,MMG,Ann Rep 2013,26.1,3.9
Gossan Dam-Bonnie Rock,Australia,Skarn,Epithermal?,C,unknown,Minedex (2013-05-05),0.45,1.25
Grants Creek-Wilsons Reef,Australia,Orogenic Au,,C,Firestrike Resources,Minedex (2013-05-05),0.07,0.25
Grieves Quarry,Australia,VMS,,C,Icon Resources,Website (2013-03-24),0.2,5
Hellyer Remnants,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.75,7
Hellyer Tailings,Australia,VMS Tailings,VMS Tailings,TC,Ivy Resources,Ann Rep 2011 (Bass Metals),9.5,2.5
Hera,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,2.44,3.8
Higgs,Australia,VMS,,C,Frontier Resources (?),Aust Mines Atlas (2013-10-01),0.22,1.3
Jackson-Stella-Chloe Trend,Australia,Sediment-hosted Pb-Zn,Sedex,C,Kagara (?),Ann Rep 2011 (Copper Strike),4.7,4.8
Jaguar,Australia,VMS,,C,Independence Group,Ann Rep 2013,0.48,2.8
Jervois Group,Australia,VMS,Possibly Sedex,C,KGL-Kentor Gold,Ann Rep 2011,1,2.21
Kamarga-JB,Australia,Sediment-hosted Pb-Zn,MVT,C,RMG,Ann Rep 2013,10.4,2.7
Kangaroo Caves,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,6.3,3.3
Kangiara,Australia,Porphyry,Porpphyry Cu-Au,C,Paradigm Metals,Ann Rep 2012,2.75,1.3
Kempfield,Australia,VMS,,C,Argent Minerals,Ann Rep 2012,21.8,0.9
Koonenberry,Australia,VMS,,C,Ausmon Resources,Website (2013-03-24),5.75,0.35
Kroombit (Cu+Zn/Cu),Australia,VMS,,C,Argonaut Resources,Media (2009-06-11),5.16,1.88
Lady Loretta,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,14.27,16.1
Lennard Shelf Group,Australia,Sediment-hosted Pb-Zn,MVT,C,North-West Mining & Geology Group (formerly Meridian Minerals),Minedex (2013-05-05),14.99,4.69
Lennon's Find,Australia,VMS,,C,Laconia Resources (sold to Musketeer Minerals Pty Ltd late 2013),Ann Rep 2013,1.8,5.1
Lewis Ponds,Australia,VMS,,C,TriAusMin,Ann Rep 2013,6.62,2.4
Liberty-Indee (Evelyn),Australia,VMS,,C,Venturex Resources,Ann Rep 2013,0.66,3.7
Magellan,Australia,Sediment-hosted Pb-Zn,Non-sulfide MVT,C,Ivernia,Ann Rep 2013,51.1,
Manindi-Freddie Well,Australia,VMS,,C,Metals Australia,Ann Rep 2013,1.354,6.04
Maramungee,Australia,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Williams & Heinemann (1993),1.8,4.4
Mariposa,Australia,VMS,,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),0.57,1.9
Mayfield,Australia,Skarn,,C,Forge Resources / Capital Mining,Ann Rep 2013 (Capital),4.9,0.6
McArthur River,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,194,9.2
Menninnie Dam,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,7.7,3.1
Merlin-Little Wizard,Australia,IOCG,Cloncurry-type,C,Inova Res. (formerly Ivanhoe Aust.),Tech Rep (2010-10),6.72,0.14
Mons Cupri,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,4.61,1.3
Morrison,Australia,Skarn,,C,Kagara (?),Aust Mines Atlas (2013-09-30),1.93,5.4
Mt Angelo North,Australia,Porphyry,Porphyry Cu-Au-Pb-Zn,C,3D Resources,Minedex (2013-05-05),0.124,2.7
Mt Ararat,Australia,VMS,,C,Stavely Minerals,Media (2015-09-08),1.3,0.4
Mt Bonnie,Australia,VMS,,NC,Crocodile Gold,Tech Rep (2013-07),0.65,9
Mt Charter,Australia,VMS,,C,Bass Metals,Ann Rep 2011,6.1,0.5
Mt Clement-Eastern Hills,Australia,Epithermal,Low sulfidation?,C,Artemis Resources,Ann Rep 2009,0.61,
Mt Dore,Australia,IOCG,,C,Inova Res. (formerly Ivanhoe Aust.),Tech Rep (2010-10),144.3,0.3
Mt Garnet Group,Australia,Skarn,,C,Kagara,Ann Rep 2011,9.633,7.8
Mt Isa (Open Cut),Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,427.8,3.4
Mt Isa-Black Star,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,24.4,4.6
Mt Isa-George Fisher North,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,145.1,8.3
Mt Isa-George Fisher South (Hilton),Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,56,7.8
Mt Isa-Handle Bar Hill,Australia,Sediment-hosted Pb-Zn,Sedex,C,Glencore Xstrata,ResV ResC 2013,8.27,5.7
Mt Moss,Australia,Skarn,,C,Curtain Bros (Qld),Qld Met. Ind. Mines 2012,20,0.35
Mt Mulcahy,Australia,VMS,,C,Black Raven Mining,Minedex (2013-05-05),0.228,1.9
Mulgul-Jillawarra (Abra),Australia,VMS,,C,Hunan Nonferrous Metals,Ann Rep 2010 (Jabiru Metals; also Minedex),107,0.09
Myrtle,Australia,Sediment-hosted Pb-Zn,Sedex,C,Rox Resources,Ann Rep 2013,43.6,4.09
Narrawa,Australia,Skarn,,C,Torque Mining (formerly Frontier Resources),Prospectus (2013-07),0.209,1.11
Nightflower-Digger Lode,Australia,VMS,,C,unknown,media (2008-09-26) (Axiom Mining),0.216,2.2
Nimbus,Australia,Epithermal,High sulfidation,C,MacPhersons Resources,Tech Rep (2013-11),4.876,1.33
Northampton-Mary Springs,Australia,Epithermal,Low sulfidation?,C,Prospect Resources (formerly Ethan Minerals),Aust Mines Atlas (2013-09-30),0.145,
Nymagee,Australia,Sediment-hosted Pb-Zn,Sedex,C,YTC Resources,Ann Rep 2013,8.1,0.7
O'Callaghans,Australia,Skarn,,C,Newcrest Mining,ResV ResC 2013,78,0.5
Oceana,Australia,Sediment-hosted Pb-Zn,MVT,C,Zeehan Zinc / Creat Resources Holdings,Media (2009-03-29),2.145,4.41
Onedin (Koongie Park),Australia,VMS,,C,Anglo Australian Resources,Ann Rep 2011,4.46,3.24
Parkers Hill (Mineral Hill),Australia,VMS,,C,KBL Mining,Ann Rep 2013,4.867,0.94
Peelwood North/South,Australia,VMS,,C,Balamara Resources (Sultan Corp),Ann Rep 2012,0.9,4
Pegmont,Australia,Sediment-hosted Pb-Zn,Sedex,C,Pegmont Mines,Ann Rep 2013,8.852,1.48
Peterlumbo-Paris,Australia,Epithermal,High sulfidation?,C,Investigator Resources,Media (2013-10-15),5.9,
Prairie Downs,Australia,VMS,,C,Prairie Downs Metals (now Brumby Resources),Minedex (2013-05-05),2.98,4.94
Que River-Que River S Lens,Australia,VMS,,C,Bass Metals,Ann Rep 2013,0.68,4.9
Queenslander,Australia,Skarn,,C,Kagara (?),Aust Mines Atlas (2013-09-30),1.59,4.5
Quinns-Austin,Australia,VMS,,C,Caravel Minerals (formerly Silver Swan Group),Ann Rep 2012,1.48,1.39
Railway Flat,Australia,Skarn,,C,Kagara (?),Ann Rep 2011 (Copper Strike),0.9,3.4
Range & Turtle/Copper Ridge,Australia,Epithermal,Low sulfidation?,C,Onslow Minerals,Minedex (2013-05-05),0.13,
Red Cap Group,Australia,Skarn,,C,Kagara,Qtr 2012-06,3.832,4.8
Rosebery-South Hercules,Australia,VMS,,C,MMG,Ann Rep 2013,19.1,11
Salt Creek,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,1,7
Sandiego,Australia,VMS,,C,Anglo Australian Resources,Ann Rep 2011,3.53,4.05
Sandy Creek,Australia,Sediment-hosted Pb-Zn,,C,TNG Ltd,Ann Rep 2012,24.38,1.81
Silver King,Australia,Sediment-hosted Pb-Zn,Sedex,C,MMG,Ann Rep 2012,1.6,5.1
Sorby Hills,Australia,Sediment-hosted Pb-Zn,MVT,C,KBL Mining,Ann Rep 2013,16.7,0.7
Stockman,Australia,VMS,,C,Independence Group,Ann Rep 2013,13.99,4
Sulphur Springs,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,12.83,4.1
Sunny Corner,Australia,VMS,,C,Argent Minerals,Ann Rep 2013,1.5,3.7
Sunshine,Australia,Sediment-hosted Pb-Zn,MVT,C,Stonehenge Metals (?),Aust Mines Atlas (2013-10-01),0.288,2.8
Sunter,Australia,Sediment-hosted Pb-Zn,Sedex,C,Terramin Australia,Ann Rep 2013,0.38,3.8
Tally Ho,Australia,Orogenic Au?,,C,Alcyone Resources,Ann Rep 2008,0.73,0.83
Teena,Australia,Sediment-hosted Pb-Zn,Sedex,C,Rox Resources,Media (2016-06-01),58,11.1
Teutonic Bore,Australia,VMS,,C,Independence Group,Ann Rep 2013,1.55,2.5
Thalanga Group,Australia,VMS,,C,Kagara,Ann Rep 2011,4.171,7.93
Trilogy,Australia,Orogenic Au,Associated with Kundip,C,Silver Lake Resources,Ann Rep 2012/2013,6.24,1.2
Turner River-Orchard Well/Discovery,Australia,VMS,,C,De Grey Mining,Minedex (2013-05-05),2.61,2.67
Wagga Tank,Australia,Orogenic Au,,C,"MMG51%, Golden Cross Resources49%",Ann Rep 2001 (GCR),1.25,3.3
Walford Creek,Australia,Sediment-hosted Pb-Zn,Sedex,C,Aeon Metals,ASX (2014-04-03),48.3,0.88
Webbs,Australia,Epithermal,,C,Silver Mines,Ann Rep 2013,1.49,1.56
Whim Creek,Australia,VMS,,C,Venturex Resources,Ann Rep 2013,0.97,1.1
Whundo Cu-Zn / Zn,Australia,VMS,,C,Fox Resources,Ann Rep 2013,2.88,1.35
Wonawinta,Australia,Sediment-hosted Pb-Zn,MVT?,C,Cobar Consolidated Resources,Inv Pres 2014-03,41.5,
Woodlawn Tailings,Australia,Sediment-hosted Pb-Zn/VMS Tailings,Sedex/VMS,TC,TriAusMin,Ann Rep 2013,11.65,2.29
Woodlawn Underground,Australia,Sediment-hosted Pb-Zn/VMS,Sedex/VMS,C,TriAusMin,Ann Rep 2013,10.1,10.15
Zeehan Group Slag,Australia,VMS Slag,VMS Slag,TC,Intec Ltd,"Ann Rep 2007, 2013",0.42,13.6
Filizchay (Filizchai),Azerbaijan,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Azerbaijan Gov't website (2015-04-24),95,3.63
Bolivar,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,4.1,9.8
Caballo Blanco,Bolivia,Epithermal?,Bolivian Polymetallic vein type?,C,Glencore Xstrata,Reserves-Resources 2013,2.33,8.7
La Solución Tailings,Bolivia,Epithermal ? Tailings,Bolivian Polymetallic vein type?,TC,Apogee Minerals,Tech Rep (2007-11),0.365,2.23
La Solución-Veta Hampaturi Sur,Bolivia,Epithermal,Bolivian Polymetallic vein type?,C,Apogee Minerals,Tech Rep (2007-05),0.12,5.1
Malku Khota,Bolivia,Sediment-hosted Pb-Zn,Sedex,C,South American Silver Corp,Tech Rep (2011-05),485.01,0.04
Paca,Bolivia,Epithermal,,C,Apogee Minerals,Tech Rep (2007-05),18.416,1.16
Poopo,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.23,6.2
Porco,Bolivia,Epithermal?,,C,Glencore Xstrata,Reserves-Resources 2013,2.35,9.2
Pulacayo-Paya,Bolivia,Epithermal,,C,"Apogee Minerals, COMIBOL",Tech Rep (2013-01),20.74,1.37
San Vicente (Bolivia),Bolivia,Epithermal,,C,Pan American Silver Corp.,Ann Info Form 2013,6.6,2.57
Kihabe,Botswana,Sediment-hosted Pb-Zn,Sedex,C,Mt Burgess Mining,Ann Rep 2012,14.4,1.75
Nxuu,Botswana,Sediment-hosted Pb-Zn,,C,Mt Burgess Mining,Ann Rep 2012,10.9,1.8
Aripuanã (Ambrex-Arex-Expedito-Valley),Brazil,VMS,,C,"Votorantim Metais-70%, Karmin Expl-30%",Tech Rep (2013-02),33.8,4.26
Boquira,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),7,0.6
Canoas,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Misi et al (1999),1.5,3.5
Fagundes,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3,4.5
Irecê,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),1.5,7.9
Januaria,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),0.1,4
Morro Agudo,Brazil,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Cunha et al (2000),9.47,6.13
Nova Redenção (New Redemption),Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Filho et al (2001),5.2,0.5
Palmeirópolis,Brazil,VMS,,C,unknown,Brandão et al (2000),6.89,4.54
Perau,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),3.3,1.88
S. Maria,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Misi et al (1999),46,0.9
Tres Irmas,Brazil,Sediment-hosted Pb-Zn,MVT,NC,unknown,Leach et al (2005),7,7.6
Vazante,Brazil,Sediment-hosted Pb-Zn,,NC,unknown,Monteiro et al (2007),18.8,23.7
Perkoa,Burkina Faso,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,12.96,9.8
Abcourt-Barvue,Canada,VMS,,C,Abcourt Mines Inc,Tech Rep (2014-04),10.127,3.03
Akie-Cardiac Creek,Canada,Sediment-hosted Pb-Zn,Sedex,C,Canada Zinc Metals,Tech Rep (2012-05),68.19,5.2
Aldermac,Canada,VMS,,NC,Abcourt Mines,Ann Info Form 2011,1.54,3
Amy,Canada,Sediment-hosted Pb-Zn,?,NC,unknown,BC OFR (1998-10),0.072,6.03
Andrew (Lad),Canada,Mesothermal Vein,,C,Overland Resources,Ann Rep 2013,7.76,5.8
Atlin-Ruffner,Canada,Epithermal?,,NC,unknown,BC OFR (1998-10),0.114,
Barvallée,Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.276,4.39
Bear,Canada,VMS,,NC,unknown (Solid Res. Now Iberian Mins.??),NWT Guide 2007,1.136,5.1
Bear-Twit,Canada,Sediment-hosted Pb-Zn,MVT,NC,unknown,NWT Guide 2007,9.07,5.4
Belfort (Roymont),Canada,VMS,,C,Abcourt Mines,Tech Rep (2013-02),0.067,5.71
Bend 1 (Canyon Zone),Canada,Sediment-hosted Pb-Zn,SEDEX,NC,unknown,BC OFR (1998-10),5,0.6
Berrigan North (Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),1.389,3.17
Berrigan South (Lac Taché),Canada,VMS,,NC,Chibougamau Independent Mines Inc,Tech Rep (2012-08),0.26,3.05
Beveley,Canada,Sediment-hosted Pb-Zn,MVT?,NC,unknown,BC OFR (1998-10),2.721,
Big Bull,Canada,VMS,,C,Chieftain Metals,Tech Rep (2010-11),0.96,5.03
Big Ledge,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,Min Deps Canada 2007 Goodfellow & Lydon,6.5,4
Big Showing (Teddy Glacier),Canada,Sediment-hosted Pb-Zn,MVT,NC,Jazz Resources,Tech Rep (2007-11),0.044,6.74
Blende,Canada,Sediment-hosted Pb-Zn,MVT,C,Blind Creek Resources (formerly Eagle Plains Res.),Tech Rep (2007-08),19.6,3.04
Bobby's Pond,Canada,VMS,,C,Mountain Lake Resources,Tech Rep (2008-09),2.27,4.16
Boomerang-Domino (Tulks South),Canada,VMS,,C,Canadian Zinc Corp,Tech Rep (2007-08),2.077,6.82
Bowler Creek,Canada,VMS,VMS,NC,unknown,BC OFR (1998-10),0.296,2.58
Brabant Lake,Canada,VMS,,C,Manicougan Minerals,Tech Rep (2008-09),4.45,6.75
Bracemac-McLeod,Canada,VMS,,C,Glencore Xstrata,Reserves-Resources 2013,5.88,8.87
Brandywine-Silver Tunnel-Northair,Canada,VMS,,NC,unknown,BC OFR (1998-10),0.497,0.26
Buckton-Buckton South,Canada,Shale-hosted,,C,DNI Metals,Tech Rep (2014-01),"5,008.70",0.017
Cadieux,Canada,Sediment-hosted Pb-Zn,,NC,unknown,"(see Gatineau, Midland Expl'n)",1.25,9.4
Caledonia,Canada,Skarn,,NC,unknown,"BC OFR (1998-10), MINFILE 092L-061",0.07,7.45
Caribou,Canada,VMS,,C,Trevali Mining Corp.,Tech Rep (2013-11),10.89,6.98
Cassiar Camp,Canada,Skarn-Manto,,NC,unknown,BC OFR (1998-10),0.905,3.49
Chester,Canada,VMS,,C,Explor Resources,Tech Rep (2014-04),4.014,0.02
Chu Chua,Canada,VMS,,C,Reva Resources,Tech Rep (2013-10),2.827,0.32
Cirque-South Cirque,Canada,Sediment-hosted Pb-Zn,Sedex,NC,"Teck Resources-50%, Korea Zinc-50%",(Canada Zinc Metals; Tech Rep 2012-05 Pie),54,7.7
CK,Canada,Sediment-hosted Pb-Zn,Sedex,NC,unknown,BC OFR (1998-10),1.49,8.6
Clark,Canada,Skarn-manto,,NC,unknown,Yukon Gov't Zn profile,0.327,4.6
Clear Lake,Canada,Sediment-hosted Pb-Zn,,C,Golden Predator (formerly Redtail Metals),Tech Rep (2010-02),9.21,6.6
